$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate,Average p-value,Wrong_ranking_cost_without_no_proportion
0.2,0.2,5.1,5.1,0.562,0.9413518394589042,0.465
0.2,0.2,5.2,5.2,0.558,0.919303404546982,0.449
0.2,0.2,5.3,5.3,0.536,0.9413298852572404,0.462
0.2,0.2,5.4,5.4,0.548,0.9388162383946249,0.463
0.2,0.2,5.5,5.5,0.594,0.9485243193995547,0.468
0.2,0.2,5.6,5.6,0.534,0.9638740952304773,0.477
0.2,0.2,5.7,5.7,0.494,0.9731413711538168,0.483
0.2,0.2,5.8,5.8,0.504,0.9817374276749502,0.488
0.2,0.2,5.9,5.9,0.498,0.9816961793594631,0.488
0.2,0.2,6.0,6.0,0.48,0.9904406528914541,0.493
0.2,0.2,6.1,6.1,0.474,0.9945375159379737,0.495
0.2,0.2,6.2,6.2,0.492,0.9912957663132816,0.495
0.2,0.2,6.3,6.3,0.52,0.9945375159379737,0.496
0.2,0.2,6.4,6.4,0.576,0.9959031369534803,0.497
0.2,0.2,6.5,6.5,0.468,0.995434824461585,0.497
0.2,0.2,6.6,6.6,0.498,0.9986343789844935,0.499
0.2,0.2,6.7,6.7,0.528,0.9960444001125823,0.498
0.2,0.2,6.8,6.8,0.536,1.0,0.5
0.2,0.2,6.9,6.9,0.474,0.9986343789844935,0.499
0.2,0.2,7.0,7.0,0.476,1.0,0.5
0.2,0.2,7.1,7.1,0.518,1.0,0.498
0.2,0.2,7.2,7.2,0.478,1.0,0.5
0.2,0.2,7.3,7.3,0.54,0.9986343789844935,0.499
0.2,0.2,7.4,7.4,0.45,1.0,0.5
0.2,0.2,7.5,7.5,0.472,0.9986343789844935,0.499
0.2,0.2,7.6,7.6,0.51,1.0,0.499
0.2,0.2,7.7,7.7,0.494,1.0,0.5
0.2,0.2,7.8,7.8,0.508,1.0,0.5
0.2,0.2,7.9,7.9,0.508,1.0,0.5
0.2,0.2,8.0,8.0,0.512,1.0,0.5
0.2,0.2,8.1,8.1,0.444,1.0,0.5
0.2,0.2,8.2,8.2,0.502,1.0,0.5
0.2,0.2,8.3,8.3,0.476,1.0,0.5
0.2,0.2,8.4,8.4,0.488,1.0,0.499
0.2,0.2,8.5,8.5,0.558,1.0,0.5
0.2,0.2,8.6,8.6,0.53,1.0,0.5
0.2,0.2,8.7,8.7,0.45,1.0,0.5
0.2,0.2,8.8,8.8,0.454,1.0,0.5
0.2,0.2,8.9,8.9,0.546,1.0,0.5
0.2,0.2,9.0,9.0,0.53,1.0,0.5
0.2,0.2,9.1,9.1,0.532,1.0,0.5
0.2,0.2,9.2,9.2,0.488,1.0,0.5
0.2,0.2,9.3,9.3,0.496,1.0,0.5
0.2,0.2,9.4,9.4,0.498,1.0,0.5
0.2,0.2,9.5,9.5,0.488,1.0,0.5
0.2,0.2,9.6,9.6,0.492,1.0,0.5
0.2,0.2,9.7,9.7,0.512,1.0,0.5
0.2,0.2,9.8,9.8,0.534,1.0,0.5
0.2,0.2,9.9,9.9,0.476,1.0,0.5
0.2,0.2,10.0,10.0,0.512,1.0,0.5
0.2,0.2,10.1,10.1,0.488,1.0,0.499
0.2,0.2,10.2,10.2,0.564,1.0,0.5
0.2,0.2,10.3,10.3,0.516,1.0,0.5
0.2,0.2,10.4,10.4,0.496,1.0,0.5
0.2,0.2,10.5,10.5,0.528,1.0,0.5
0.2,0.2,10.6,10.6,0.488,1.0,0.5
0.2,0.2,10.7,10.7,0.498,1.0,0.5
0.2,0.2,10.8,10.8,0.532,1.0,0.5
0.2,0.2,10.9,10.9,0.494,1.0,0.5
0.2,0.2,11.0,11.0,0.504,1.0,0.5
0.2,0.2,11.1,11.1,0.508,1.0,0.499
0.2,0.2,11.2,11.2,0.496,1.0,0.5
0.2,0.2,11.3,11.3,0.51,1.0,0.5
0.2,0.2,11.4,11.4,0.474,1.0,0.5
0.2,0.2,11.5,11.5,0.492,1.0,0.5
0.2,0.2,11.6,11.6,0.5,1.0,0.5
0.2,0.2,11.7,11.7,0.496,1.0,0.5
0.2,0.2,11.8,11.8,0.464,1.0,0.5
0.2,0.2,11.9,11.9,0.51,1.0,0.499
0.2,0.2,12.0,12.0,0.508,1.0,0.5
0.2,0.2,12.1,12.1,0.502,1.0,0.5
0.2,0.2,12.2,12.2,0.518,1.0,0.5
0.2,0.2,12.3,12.3,0.526,1.0,0.5
0.2,0.2,12.4,12.4,0.506,1.0,0.5
0.2,0.2,12.5,12.5,0.474,1.0,0.5
0.2,0.2,12.6,12.6,0.442,1.0,0.5
0.2,0.2,12.7,12.7,0.544,1.0,0.499
0.2,0.2,12.8,12.8,0.508,1.0,0.5
0.2,0.2,12.9,12.9,0.502,1.0,0.5
